average,date,highest,lowest,order_count,volume,type_id
3500000.0,2024-05-02,3500000.0,3500000.0,3,3,38660
3500000.0,2024-05-03,3500000.0,3500000.0,1,1,38660
4249500.0,2024-05-04,4999000.0,3500000.0,2,2,38660
3500000.0,2024-05-06,3500000.0,3500000.0,2,2,38660
4999000.0,2024-05-07,4999000.0,4999000.0,1,1,38660
2666666.67,2024-05-08,3500000.0,1000000.0,3,3,38660
4500000.0,2024-05-09,4500000.0,4500000.0,1,1,38660
3500000.0,2024-05-10,3500000.0,3500000.0,1,1,38660
4999000.0,2024-05-11,4999000.0,4999000.0,2,2,38660
4499333.33,2024-05-12,4999000.0,3500000.0,3,3,38660
4999000.0,2024-05-15,4999000.0,4999000.0,1,1,38660
4249500.0,2024-05-16,4999000.0,3500000.0,2,2,38660
3500000.0,2024-05-17,3500000.0,3500000.0,2,2,38660
3500000.0,2024-05-19,3500000.0,3500000.0,2,2,38660
4999000.0,2024-05-21,4999000.0,4999000.0,3,3,38660
4249500.0,2024-05-22,4999000.0,3500000.0,2,2,38660
4999000.0,2024-05-23,4999000.0,4999000.0,1,2,38660
3500000.0,2024-05-24,3500000.0,3500000.0,1,1,38660
4999000.0,2024-05-25,4999000.0,4999000.0,1,1,38660
3500000.0,2024-05-26,3500000.0,3500000.0,1,1,38660
4999000.0,2024-05-29,4999000.0,4999000.0,1,1,38660
4249500.0,2024-05-30,4999000.0,3500000.0,2,2,38660
4249500.0,2024-05-31,4999000.0,3500000.0,2,2,38660
3999666.67,2024-06-01,4999000.0,3500000.0,2,3,38660
4999000.0,2024-06-02,4999000.0,4999000.0,1,1,38660
4499333.33,2024-06-03,4999000.0,3500000.0,3,3,38660
4499333.33,2024-06-04,4999000.0,3500000.0,3,3,38660
4249500.0,2024-06-06,4999000.0,3500000.0,2,2,38660
3500000.0,2024-06-08,3500000.0,3500000.0,3,4,38660
3500000.0,2024-06-10,3500000.0,3500000.0,1,2,38660
4999000.0,2024-06-11,4999000.0,4999000.0,1,1,38660
4249500.0,2024-06-12,4999000.0,3500000.0,2,2,38660
4999000.0,2024-06-13,4999000.0,4999000.0,2,2,38660
4999000.0,2024-06-14,4999000.0,4999000.0,3,3,38660
3999666.67,2024-06-15,4999000.0,3500000.0,2,3,38660
4999000.0,2024-06-16,4999000.0,4999000.0,1,1,38660
4999000.0,2024-06-17,4999000.0,4999000.0,1,1,38660
3500000.0,2024-06-19,3500000.0,3500000.0,1,1,38660
4499000.0,2024-06-20,4499000.0,4499000.0,2,2,38660
4166000.0,2024-06-21,4499000.0,3500000.0,3,3,38660
4249250.0,2024-06-22,4499000.0,3500000.0,4,4,38660
4499000.0,2024-06-23,4499000.0,4499000.0,1,1,38660
4249250.0,2024-06-25,4499000.0,3500000.0,4,4,38660
3833000.0,2024-06-26,4499000.0,3500000.0,3,3,38660
3500000.0,2024-06-27,3500000.0,3500000.0,1,1,38660
4499000.0,2024-06-28,4499000.0,4499000.0,1,1,38660
3500000.0,2024-06-29,3500000.0,3500000.0,2,2,38660
3833000.0,2024-06-30,4499000.0,3500000.0,3,3,38660
4166000.0,2024-07-02,4499000.0,3500000.0,3,3,38660
3500000.0,2024-07-03,3500000.0,3500000.0,1,2,38660
