type_id,median_daily_liquidity
18,3540655027.89
19,62781980.0
20,18700692022.69
21,341730604.05
22,1158822287.88
34,199900139790.32
35,192735176734.77
36,195478838785.4
37,356910639491.8
38,281329589243.2
39,447767864168.1
40,262812383236.4
41,442717053.66
42,9437588506.8
43,482923109.38
44,45049931324.38
45,4434395471.5
178,154705881.24
179,264202848.26
180,102903180.3
181,456400507.0
182,180330348.83
183,1482782954.29
184,1526460926.58
185,1088996554.18
186,749361263.96
187,213990177.5
188,402268163.08
189,666096510.93
190,484488069.67
191,2675147122.98
192,516167468.83
193,5980749581.78
194,414757610.33
195,134309460.47
196,1152145031.13
197,1563661202.85
198,812597969.64
199,951165525.6
200,4042912796.38
201,2479289743.42
202,6063754047.26
203,5999053897.96
204,3038214350.12
205,4974707771.76
206,1460239266.85
207,3390450460.2
208,1825494558.07
209,3052102480.11
210,1575279575.5
211,1558141083.22
212,2306696495.8
213,596006638.07
215,1012344779.63
216,108856488.25
217,378674189.42
218,868403888.5
219,762360277.85
220,1869829407.27
221,361710084.6
222,3849308830.91
223,1053585446.75
224,406105849.45
225,4866528932.85
226,1780984763.81
227,1777404440.1
228,1858717669.5
229,939909292.13
230,5810756053.4
231,1329399826.32
232,1010635742.24
233,1594113283.43
234,794177853.32
235,4145996533.48
236,1700051556.58
237,2367311417.26
238,5930564957.52
239,206547329.42
240,245650663.53
241,72994827.58
242,160613598.82
243,51620691.28
244,106230294.92
245,266730089.9
246,1277041350.84
247,348040349.58
248,1118056240.94
249,1038572564.48
250,1068519484.8
251,1001674650.26
252,302817924.0
253,256603919.4
254,988310410.0
255,1573696009.0
256,231232442.0
257,556245081.6
258,1291983584.0
259,1652760186.0
260,1539015490.0
261,735009010.0
262,12158770834.0
263,443080143.94
264,288356905.04
266,637984213.96
267,3444469396.6
269,678487490.43
377,167080750.0
380,10182076200.0
393,40705749.0
394,1620356958.51
399,50894439.12
400,2010158800.0
405,591199480.0
421,725122184.0
434,6045766954.0
438,10441197600.0
439,7215863145.3
440,21445117000.0
442,1465594461.0
443,11860785.79
444,54601143.89
447,9925139869.1
448,19911380900.0
450,46156483.6
451,132518780.0
452,68289569.75
453,651937789.96
454,154178654.7
455,140232339.95
456,162470540.0
457,347383419.98
458,289382300.0
459,843860099.99
460,740105800.0
461,86316800.0
462,1784225600.0
463,882686000.0
464,1068615999.84
482,5361454002.01
483,2396643844.0
484,1069391959.0
485,253173968.0
486,1211955423.1
487,159883622.0
488,395480509.83
489,312099220.0
490,340928169.99
491,489004600.0
492,132200280.0
493,936613100.0
494,441292850.0
495,312175800.0
496,8372807000.0
497,1428110700.0
498,4775541000.0
499,141046915.0
501,1056538947.64
503,1196053714.82
506,590624200.0
508,122104069.9
509,866143700.0
518,363136000.0
519,13221214299.96
520,6395612243.68
521,2147318160.0
522,1560354500.0
523,171995510.0
524,405891359.99
526,6644850559.67
527,21882408700.0
529,69105233.0
530,715518426.0
533,198294915.0
561,187723504.93
562,188860051.99
563,317037378.87
564,4012046559.3
565,1115225584.0
566,155177439.96
567,359485709.84
568,1412317681.09
569,737612869.0
570,7644388222.57
571,32110210.0
572,531665119.93
573,3041597000.0
574,4399507999.93
575,650788000.0
577,269444104.0
578,9440571510.0
580,124118217.12
581,103866778.6
582,2010911629.8
583,2711951170.0
584,1582081800.0
585,1604288420.0
586,1396274720.0
587,2019282700.0
588,1577075927.58
589,1349308500.0
590,1787097529.0
591,392555660.0
592,311170309.93
593,3433963500.0
594,3508302409.62
596,1624199239.28
597,6475992195.0
598,1173445200.0
599,866940679.98
601,1499357398.19
602,4213566699.12
603,8084259170.1
605,8008024390.0
606,1409847029.48
607,2803409140.0
608,1178523090.0
609,1245134500.0
615,65477000000.0
617,38735000002.0
620,16810252999.8
621,17223207000.0
622,28388649999.98
623,14786520400.0
624,11351259000.0
625,4534602000.0
626,19984783000.0
627,11312480000.0
628,30559549800.0
629,7005020000.0
630,4459560200.0
631,7879617000.0
632,5820605000.0
633,2981532000.0
634,28299950000.0
635,88000000.0
638,83021310000.0
639,42686176000.0
640,44012640500.0
641,41665369700.0
642,33039670400.0
643,35396316000.0
